数据集名称: E:/rf_datasets_equalize/
===== 随机搜索结果 =====
[组合 1] 参数: {'model_dim': 256, 'num_heads': 2, 'num_layers': 1, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.09% | Val Acc: 11.30% | Test Acc: 10.90%
[组合 96] 参数: {'model_dim': 128, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.11% | Test Acc: 11.11%
[组合 97] 参数: {'model_dim': 128, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.12% | Val Acc: 11.07% | Test Acc: 10.86%
[组合 98] 参数: {'model_dim': 256, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.09% | Val Acc: 11.24% | Test Acc: 11.12%
[组合 99] 参数: {'model_dim': 128, 'num_heads': 4, 'num_layers': 1, 'dropout': 0.3, 'batch_size': 256, 'learning_rate': 1e-05, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.12% | Val Acc: 11.03% | Test Acc: 11.13%
[组合 100] 参数: {'model_dim': 64, 'num_heads': 8, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 128, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'num_epochs': 200, 'patience': 5} | Train Acc: 11.11% | Val Acc: 11.11% | Test Acc: 11.11%

===== 最佳结果 =====
最佳参数: {'model_dim': 64, 'num_heads': 4, 'num_layers': 2, 'dropout': 0.5, 'batch_size': 256, 'learning_rate': 0.0001, 'weight_decay': 0.0005, 'num_epochs': 200, 'patience': 5}
训练集准确率: 11.08%
验证集准确率: 11.40%
测试集准确率: 11.12%
