TX	Date	RX	NonEqualized_Signal_Count
14-13	2021_03_15	7-14	50
14-13	2021_03_15	7-7	50
14-13	2021_03_15	8-14	50
14-13	2021_03_15	8-7	50
14-13	2021_03_15	8-8	50
14-13	2021_03_23	1-1	50
14-13	2021_03_23	1-19	50
14-13	2021_03_23	1-20	50
14-13	2021_03_23	13-7	50
14-13	2021_03_23	14-7	50
14-13	2021_03_23	18-19	50
14-13	2021_03_23	18-2	50
14-13	2021_03_23	19-1	50
14-13	2021_03_23	19-2	50
14-13	2021_03_23	2-1	50
14-13	2021_03_23	20-1	50
14-13	2021_03_23	20-19	50
14-13	2021_03_23	3-19	50
14-13	2021_03_23	7-14	50
14-13	2021_03_23	7-7	50
14-13	2021_03_23	8-14	50
14-13	2021_03_23	8-7	50
14-13	2021_03_23	8-8	50
14-14	2021_03_01	1-1	50
14-14	2021_03_01	1-19	50
14-14	2021_03_01	1-20	50
14-14	2021_03_01	13-7	50
14-14	2021_03_01	14-7	50
14-14	2021_03_01	18-19	50
14-14	2021_03_01	18-2	50
14-14	2021_03_01	19-1	50
14-14	2021_03_01	19-2	50
14-14	2021_03_01	2-1	50
14-14	2021_03_01	20-1	50
14-14	2021_03_01	20-19	50
14-14	2021_03_01	3-19	50
14-14	2021_03_01	7-14	50
14-14	2021_03_01	7-7	50
14-14	2021_03_01	8-14	50
14-14	2021_03_01	8-7	50
14-14	2021_03_01	8-8	50
14-14	2021_03_08	1-1	50
14-14	2021_03_08	1-19	50
14-14	2021_03_08	1-20	50
14-14	2021_03_08	13-7	50
14-14	2021_03_08	14-7	50
14-14	2021_03_08	18-19	50
14-14	2021_03_08	18-2	50
14-14	2021_03_08	19-1	50
14-14	2021_03_08	19-2	50
14-14	2021_03_08	2-1	50
14-14	2021_03_08	20-1	50
14-14	2021_03_08	20-19	50
14-14	2021_03_08	3-19	50
14-14	2021_03_08	7-14	50
14-14	2021_03_08	7-7	50
14-14	2021_03_08	8-14	50
14-14	2021_03_08	8-7	50
14-14	2021_03_08	8-8	50
14-14	2021_03_15	1-1	50
14-14	2021_03_15	1-19	50
14-14	2021_03_15	1-20	50
14-14	2021_03_15	13-7	50
14-14	2021_03_15	14-7	50
14-14	2021_03_15	18-19	50
14-14	2021_03_15	18-2	50
14-14	2021_03_15	19-1	50
14-14	2021_03_15	19-2	50
14-14	2021_03_15	2-1	50
14-14	2021_03_15	20-1	50
14-14	2021_03_15	20-19	50
14-14	2021_03_15	3-19	50
14-14	2021_03_15	7-14	50
14-14	2021_03_15	7-7	50
14-14	2021_03_15	8-14	50
14-14	2021_03_15	8-7	50
14-14	2021_03_15	8-8	50
14-14	2021_03_23	1-1	50
14-14	2021_03_23	1-19	50
14-14	2021_03_23	1-20	50
14-14	2021_03_23	13-7	50
14-14	2021_03_23	14-7	50
14-14	2021_03_23	18-19	50
14-14	2021_03_23	18-2	50
14-14	2021_03_23	19-1	50
14-14	2021_03_23	19-2	50
14-14	2021_03_23	2-1	50
14-14	2021_03_23	20-1	50
14-14	2021_03_23	20-19	50
14-14	2021_03_23	3-19	50
14-14	2021_03_23	7-14	50
14-14	2021_03_23	7-7	50
14-14	2021_03_23	8-14	50
14-14	2021_03_23	8-7	50
14-14	2021_03_23	8-8	50
14-20	2021_03_01	1-1	50
14-20	2021_03_01	1-19	50
14-20	2021_03_01	1-20	50
14-20	2021_03_01	13-7	50
14-20	2021_03_01	14-7	50
14-20	2021_03_01	18-19	17
14-20	2021_03_01	18-2	50
14-20	2021_03_01	19-1	50
14-20	2021_03_01	19-2	50
14-20	2021_03_01	2-1	50
14-20	2021_03_01	20-1	50
14-20	2021_03_01	20-19	50
14-20	2021_03_01	3-19	50
14-20	2021_03_01	7-14	50
14-20	2021_03_01	7-7	50
14-20	2021_03_01	8-14	50
14-20	2021_03_01	8-7	50
14-20	2021_03_01	8-8	50
14-20	2021_03_08	1-1	50
14-20	2021_03_08	1-19	50
14-20	2021_03_08	1-20	50
14-20	2021_03_08	13-7	50
14-20	2021_03_08	14-7	50
14-20	2021_03_08	18-19	0
14-20	2021_03_08	18-2	50
14-20	2021_03_08	19-1	50
14-20	2021_03_08	19-2	50
14-20	2021_03_08	2-1	50
14-20	2021_03_08	20-1	50
14-20	2021_03_08	20-19	50
14-20	2021_03_08	3-19	50
14-20	2021_03_08	7-14	50
14-20	2021_03_08	7-7	50
14-20	2021_03_08	8-14	50
14-20	2021_03_08	8-7	50
14-20	2021_03_08	8-8	50
14-20	2021_03_15	1-1	50
14-20	2021_03_15	1-19	50
14-20	2021_03_15	1-20	50
14-20	2021_03_15	13-7	50
14-20	2021_03_15	14-7	50
14-20	2021_03_15	18-19	21
14-20	2021_03_15	18-2	50
14-20	2021_03_15	19-1	50
14-20	2021_03_15	19-2	50
14-20	2021_03_15	2-1	50
14-20	2021_03_15	20-1	50
14-20	2021_03_15	20-19	50
14-20	2021_03_15	3-19	50
14-20	2021_03_15	7-14	50
14-20	2021_03_15	7-7	50
14-20	2021_03_15	8-14	50
14-20	2021_03_15	8-7	50
14-20	2021_03_15	8-8	50
14-20	2021_03_23	1-1	50
14-20	2021_03_23	1-19	50
14-20	2021_03_23	1-20	50
14-20	2021_03_23	13-7	50
14-20	2021_03_23	14-7	50
14-20	2021_03_23	18-19	0
14-20	2021_03_23	18-2	50
14-20	2021_03_23	19-1	50
14-20	2021_03_23	19-2	50
14-20	2021_03_23	2-1	50
14-20	2021_03_23	20-1	50
14-20	2021_03_23	20-19	50
14-20	2021_03_23	3-19	50
14-20	2021_03_23	7-14	50
14-20	2021_03_23	7-7	50
14-20	2021_03_23	8-14	50
14-20	2021_03_23	8-7	50
14-20	2021_03_23	8-8	50
14-7	2021_03_01	1-1	50
14-7	2021_03_01	1-19	50
14-7	2021_03_01	1-20	50
14-7	2021_03_01	13-7	0
14-7	2021_03_01	14-7	50
14-7	2021_03_01	18-19	50
14-7	2021_03_01	18-2	50
14-7	2021_03_01	19-1	50
14-7	2021_03_01	19-2	50
14-7	2021_03_01	2-1	50
14-7	2021_03_01	20-1	50
14-7	2021_03_01	20-19	50
14-7	2021_03_01	3-19	50
14-7	2021_03_01	7-14	50
14-7	2021_03_01	7-7	50
14-7	2021_03_01	8-14	50
14-7	2021_03_01	8-7	50
14-7	2021_03_01	8-8	50
14-7	2021_03_08	1-1	50
14-7	2021_03_08	1-19	50
14-7	2021_03_08	1-20	50
14-7	2021_03_08	13-7	0
14-7	2021_03_08	14-7	50
14-7	2021_03_08	18-19	50
14-7	2021_03_08	18-2	50
14-7	2021_03_08	19-1	50
14-7	2021_03_08	19-2	50
14-7	2021_03_08	2-1	50
14-7	2021_03_08	20-1	50
14-7	2021_03_08	20-19	50
14-7	2021_03_08	3-19	50
14-7	2021_03_08	7-14	50
14-7	2021_03_08	7-7	50
14-7	2021_03_08	8-14	50
14-7	2021_03_08	8-7	50
14-7	2021_03_08	8-8	50
14-7	2021_03_15	1-1	50
14-7	2021_03_15	1-19	50
14-7	2021_03_15	1-20	50
14-7	2021_03_15	13-7	0
14-7	2021_03_15	14-7	50
14-7	2021_03_15	18-19	50
14-7	2021_03_15	18-2	50
14-7	2021_03_15	19-1	50
14-7	2021_03_15	19-2	50
14-7	2021_03_15	2-1	50
14-7	2021_03_15	20-1	50
14-7	2021_03_15	20-19	50
14-7	2021_03_15	3-19	50
14-7	2021_03_15	7-14	50
14-7	2021_03_15	7-7	50
14-7	2021_03_15	8-14	50
14-7	2021_03_15	8-7	50
14-7	2021_03_15	8-8	50
14-7	2021_03_23	1-1	50
14-7	2021_03_23	1-19	50
14-7	2021_03_23	1-20	50
14-7	2021_03_23	13-7	0
14-7	2021_03_23	14-7	50
14-7	2021_03_23	18-19	50
14-7	2021_03_23	18-2	50
14-7	2021_03_23	19-1	50
14-7	2021_03_23	19-2	50
14-7	2021_03_23	2-1	50
14-7	2021_03_23	20-1	50
14-7	2021_03_23	20-19	50
14-7	2021_03_23	3-19	50
14-7	2021_03_23	7-14	50
14-7	2021_03_23	7-7	50
14-7	2021_03_23	8-14	50
14-7	2021_03_23	8-7	50
14-7	2021_03_23	8-8	50
14-8	2021_03_01	1-1	50
14-8	2021_03_01	1-19	50
14-8	2021_03_01	1-20	50
14-8	2021_03_01	13-7	50
14-8	2021_03_01	14-7	50
14-8	2021_03_01	18-19	50
14-8	2021_03_01	18-2	50
14-8	2021_03_01	19-1	50
14-8	2021_03_01	19-2	50
14-8	2021_03_01	2-1	50
14-8	2021_03_01	20-1	50
14-8	2021_03_01	20-19	50
14-8	2021_03_01	3-19	50
14-8	2021_03_01	7-14	50
14-8	2021_03_01	7-7	50
14-8	2021_03_01	8-14	50
14-8	2021_03_01	8-7	50
14-8	2021_03_01	8-8	50
14-8	2021_03_08	1-1	50
14-8	2021_03_08	1-19	50
14-8	2021_03_08	1-20	50
14-8	2021_03_08	13-7	50
14-8	2021_03_08	14-7	23
14-8	2021_03_08	18-19	50
14-8	2021_03_08	18-2	50
14-8	2021_03_08	19-1	50
14-8	2021_03_08	19-2	50
14-8	2021_03_08	2-1	50
14-8	2021_03_08	20-1	50
14-8	2021_03_08	20-19	50
14-8	2021_03_08	3-19	50
14-8	2021_03_08	7-14	50
14-8	2021_03_08	7-7	50
14-8	2021_03_08	8-14	50
14-8	2021_03_08	8-7	50
14-8	2021_03_08	8-8	50
14-8	2021_03_15	1-1	50
14-8	2021_03_15	1-19	50
14-8	2021_03_15	1-20	50
14-8	2021_03_15	13-7	50
14-8	2021_03_15	14-7	12
14-8	2021_03_15	18-19	50
14-8	2021_03_15	18-2	50
14-8	2021_03_15	19-1	50
14-8	2021_03_15	19-2	50
14-8	2021_03_15	2-1	50
14-8	2021_03_15	20-1	50
14-8	2021_03_15	20-19	50
14-8	2021_03_15	3-19	50
14-8	2021_03_15	7-14	50
14-8	2021_03_15	7-7	50
14-8	2021_03_15	8-14	0
14-8	2021_03_15	8-7	50
14-8	2021_03_15	8-8	50
14-8	2021_03_23	1-1	50
14-8	2021_03_23	1-19	50
14-8	2021_03_23	1-20	50
14-8	2021_03_23	13-7	50
14-8	2021_03_23	14-7	40
14-8	2021_03_23	18-19	50
14-8	2021_03_23	18-2	50
14-8	2021_03_23	19-1	50
14-8	2021_03_23	19-2	50
14-8	2021_03_23	2-1	50
14-8	2021_03_23	20-1	50
14-8	2021_03_23	20-19	50
14-8	2021_03_23	3-19	50
14-8	2021_03_23	7-14	50
14-8	2021_03_23	7-7	50
14-8	2021_03_23	8-14	50
14-8	2021_03_23	8-7	50
14-8	2021_03_23	8-8	50
14-9	2021_03_01	1-1	50
14-9	2021_03_01	1-19	50
14-9	2021_03_01	1-20	50
14-9	2021_03_01	13-7	35
14-9	2021_03_01	14-7	50
14-9	2021_03_01	18-19	48
14-9	2021_03_01	18-2	50
14-9	2021_03_01	19-1	50
14-9	2021_03_01	19-2	50
14-9	2021_03_01	2-1	50
14-9	2021_03_01	20-1	50
14-9	2021_03_01	20-19	50
14-9	2021_03_01	3-19	50
14-9	2021_03_01	7-14	50
14-9	2021_03_01	7-7	50
14-9	2021_03_01	8-14	43
14-9	2021_03_01	8-7	34
14-9	2021_03_01	8-8	50
14-9	2021_03_08	1-1	50
14-9	2021_03_08	1-19	50
14-9	2021_03_08	1-20	50
14-9	2021_03_08	13-7	50
14-9	2021_03_08	14-7	50
14-9	2021_03_08	18-19	50
14-9	2021_03_08	18-2	50
14-9	2021_03_08	19-1	50
14-9	2021_03_08	19-2	50
14-9	2021_03_08	2-1	50
14-9	2021_03_08	20-1	50
14-9	2021_03_08	20-19	50
14-9	2021_03_08	3-19	50
14-9	2021_03_08	7-14	50
14-9	2021_03_08	7-7	50
14-9	2021_03_08	8-14	50
14-9	2021_03_08	8-7	50
14-9	2021_03_08	8-8	50
14-9	2021_03_15	1-1	50
14-9	2021_03_15	1-19	50
14-9	2021_03_15	1-20	50
14-9	2021_03_15	13-7	50
14-9	2021_03_15	14-7	50
14-9	2021_03_15	18-19	50
14-9	2021_03_15	18-2	50
14-9	2021_03_15	19-1	50
14-9	2021_03_15	19-2	50
14-9	2021_03_15	2-1	50
14-9	2021_03_15	20-1	50
14-9	2021_03_15	20-19	50
14-9	2021_03_15	3-19	50
14-9	2021_03_15	7-14	50
14-9	2021_03_15	7-7	50
14-9	2021_03_15	8-14	50
14-9	2021_03_15	8-7	50
14-9	2021_03_15	8-8	50
14-9	2021_03_23	1-1	50
14-9	2021_03_23	1-19	50
14-9	2021_03_23	1-20	50
14-9	2021_03_23	13-7	50
14-9	2021_03_23	14-7	50
14-9	2021_03_23	18-19	50
14-9	2021_03_23	18-2	50
14-9	2021_03_23	19-1	50
14-9	2021_03_23	19-2	50
14-9	2021_03_23	2-1	50
14-9	2021_03_23	20-1	50
14-9	2021_03_23	20-19	50
14-9	2021_03_23	3-19	50
14-9	2021_03_23	7-14	50
14-9	2021_03_23	7-7	50
14-9	2021_03_23	8-14	50
14-9	2021_03_23	8-7	50
14-9	2021_03_23	8-8	50
15-1	2021_03_01	1-1	50
15-1	2021_03_01	1-19	50
15-1	2021_03_01	1-20	50
15-1	2021_03_01	13-7	50
15-1	2021_03_01	14-7	50
15-1	2021_03_01	18-19	50
15-1	2021_03_01	18-2	50
15-1	2021_03_01	19-1	50
15-1	2021_03_01	19-2	50
15-1	2021_03_01	2-1	50
15-1	2021_03_01	20-1	50
15-1	2021_03_01	20-19	50
15-1	2021_03_01	3-19	50
15-1	2021_03_01	7-14	50
15-1	2021_03_01	7-7	50
15-1	2021_03_01	8-14	50
15-1	2021_03_01	8-7	50
15-1	2021_03_01	8-8	50
15-1	2021_03_08	1-1	50
15-1	2021_03_08	1-19	50
15-1	2021_03_08	1-20	50
15-1	2021_03_08	13-7	50
15-1	2021_03_08	14-7	50
15-1	2021_03_08	18-19	50
15-1	2021_03_08	18-2	50
15-1	2021_03_08	19-1	50
15-1	2021_03_08	19-2	50
15-1	2021_03_08	2-1	50
15-1	2021_03_08	20-1	50
15-1	2021_03_08	20-19	50
15-1	2021_03_08	3-19	50
15-1	2021_03_08	7-14	50
15-1	2021_03_08	7-7	50
15-1	2021_03_08	8-14	50
15-1	2021_03_08	8-7	50
15-1	2021_03_08	8-8	50
15-1	2021_03_15	1-1	50
15-1	2021_03_15	1-19	50
15-1	2021_03_15	1-20	50
15-1	2021_03_15	13-7	50
15-1	2021_03_15	14-7	50
15-1	2021_03_15	18-19	50
15-1	2021_03_15	18-2	50
15-1	2021_03_15	19-1	50
15-1	2021_03_15	19-2	50
15-1	2021_03_15	2-1	50
15-1	2021_03_15	20-1	50
15-1	2021_03_15	20-19	50
15-1	2021_03_15	3-19	50
15-1	2021_03_15	7-14	50
15-1	2021_03_15	7-7	50
15-1	2021_03_15	8-14	50
15-1	2021_03_15	8-7	50
15-1	2021_03_15	8-8	50
15-1	2021_03_23	1-1	50
15-1	2021_03_23	1-19	50
15-1	2021_03_23	1-20	50
15-1	2021_03_23	13-7	50
15-1	2021_03_23	14-7	50
15-1	2021_03_23	18-19	50
15-1	2021_03_23	18-2	50
15-1	2021_03_23	19-1	50
15-1	2021_03_23	19-2	50
15-1	2021_03_23	2-1	50
15-1	2021_03_23	20-1	50
15-1	2021_03_23	20-19	50
15-1	2021_03_23	3-19	50
15-1	2021_03_23	7-14	50
15-1	2021_03_23	7-7	50
15-1	2021_03_23	8-14	50
15-1	2021_03_23	8-7	50
15-1	2021_03_23	8-8	50
15-19	2021_03_01	1-1	50
15-19	2021_03_01	1-19	50
15-19	2021_03_01	1-20	50
15-19	2021_03_01	13-7	50
15-19	2021_03_01	14-7	50
15-19	2021_03_01	18-19	29
15-19	2021_03_01	18-2	50
15-19	2021_03_01	19-1	50
15-19	2021_03_01	19-2	50
15-19	2021_03_01	2-1	50
15-19	2021_03_01	20-1	50
15-19	2021_03_01	20-19	50
15-19	2021_03_01	3-19	50
15-19	2021_03_01	7-14	50
15-19	2021_03_01	7-7	50
15-19	2021_03_01	8-14	50
15-19	2021_03_01	8-7	50
15-19	2021_03_01	8-8	50
15-19	2021_03_08	1-1	50
15-19	2021_03_08	1-19	50
15-19	2021_03_08	1-20	50
15-19	2021_03_08	13-7	50
15-19	2021_03_08	14-7	50
15-19	2021_03_08	18-19	50
15-19	2021_03_08	18-2	50
15-19	2021_03_08	19-1	50
15-19	2021_03_08	19-2	50
15-19	2021_03_08	2-1	50
15-19	2021_03_08	20-1	50
15-19	2021_03_08	20-19	50
15-19	2021_03_08	3-19	50
15-19	2021_03_08	7-14	50
15-19	2021_03_08	7-7	50
15-19	2021_03_08	8-14	50
15-19	2021_03_08	8-7	50
15-19	2021_03_08	8-8	50
15-19	2021_03_15	1-1	50
15-19	2021_03_15	1-19	50
15-19	2021_03_15	1-20	50
15-19	2021_03_15	13-7	50
15-19	2021_03_15	14-7	50
15-19	2021_03_15	18-19	47
15-19	2021_03_15	18-2	50
15-19	2021_03_15	19-1	50
15-19	2021_03_15	19-2	50
15-19	2021_03_15	2-1	50
15-19	2021_03_15	20-1	50
15-19	2021_03_15	20-19	50
15-19	2021_03_15	3-19	50
15-19	2021_03_15	7-14	50
15-19	2021_03_15	7-7	50
15-19	2021_03_15	8-14	50
15-19	2021_03_15	8-7	50
15-19	2021_03_15	8-8	50
15-19	2021_03_23	1-1	50
15-19	2021_03_23	1-19	50
15-19	2021_03_23	1-20	50
15-19	2021_03_23	13-7	50
15-19	2021_03_23	14-7	50
15-19	2021_03_23	18-19	46
15-19	2021_03_23	18-2	50
15-19	2021_03_23	19-1	50
15-19	2021_03_23	19-2	50
15-19	2021_03_23	2-1	50
15-19	2021_03_23	20-1	50
15-19	2021_03_23	20-19	50
15-19	2021_03_23	3-19	50
15-19	2021_03_23	7-14	50
15-19	2021_03_23	7-7	50
15-19	2021_03_23	8-14	50
15-19	2021_03_23	8-7	50
15-19	2021_03_23	8-8	50
15-6	2021_03_01	1-1	50
15-6	2021_03_01	1-19	50
15-6	2021_03_01	1-20	50
15-6	2021_03_01	13-7	0
15-6	2021_03_01	14-7	0
15-6	2021_03_01	18-19	50
15-6	2021_03_01	18-2	50
15-6	2021_03_01	19-1	50
15-6	2021_03_01	19-2	50
15-6	2021_03_01	2-1	50
15-6	2021_03_01	20-1	50
15-6	2021_03_01	20-19	50
15-6	2021_03_01	3-19	50
15-6	2021_03_01	7-14	50
15-6	2021_03_01	7-7	50
15-6	2021_03_01	8-14	50
15-6	2021_03_01	8-7	45
15-6	2021_03_01	8-8	50
15-6	2021_03_08	1-1	50
15-6	2021_03_08	1-19	50
15-6	2021_03_08	1-20	50
15-6	2021_03_08	13-7	0
15-6	2021_03_08	14-7	0
15-6	2021_03_08	18-19	50
15-6	2021_03_08	18-2	50
15-6	2021_03_08	19-1	50
15-6	2021_03_08	19-2	50
15-6	2021_03_08	2-1	50
15-6	2021_03_08	20-1	50
15-6	2021_03_08	20-19	50
15-6	2021_03_08	3-19	50
15-6	2021_03_08	7-14	50
15-6	2021_03_08	7-7	50
15-6	2021_03_08	8-14	50
15-6	2021_03_08	8-7	50
15-6	2021_03_08	8-8	50
15-6	2021_03_15	1-1	50
15-6	2021_03_15	1-19	50
15-6	2021_03_15	1-20	50
15-6	2021_03_15	13-7	0
15-6	2021_03_15	14-7	0
15-6	2021_03_15	18-19	50
15-6	2021_03_15	18-2	50
15-6	2021_03_15	19-1	50
15-6	2021_03_15	19-2	50
15-6	2021_03_15	2-1	50
15-6	2021_03_15	20-1	50
15-6	2021_03_15	20-19	50
15-6	2021_03_15	3-19	50
15-6	2021_03_15	7-14	50
15-6	2021_03_15	7-7	50
15-6	2021_03_15	8-14	50
15-6	2021_03_15	8-7	50
15-6	2021_03_15	8-8	50
15-6	2021_03_23	1-1	50
15-6	2021_03_23	1-19	50
15-6	2021_03_23	1-20	50
15-6	2021_03_23	13-7	0
15-6	2021_03_23	14-7	0
15-6	2021_03_23	18-19	50
15-6	2021_03_23	18-2	50
15-6	2021_03_23	19-1	50
15-6	2021_03_23	19-2	50
15-6	2021_03_23	2-1	50
15-6	2021_03_23	20-1	50
15-6	2021_03_23	20-19	50
15-6	2021_03_23	3-19	50
15-6	2021_03_23	7-14	50
15-6	2021_03_23	7-7	50
15-6	2021_03_23	8-14	50
15-6	2021_03_23	8-7	50
15-6	2021_03_23	8-8	50
16-1	2021_03_01	1-1	50
16-1	2021_03_01	1-19	50
16-1	2021_03_01	1-20	50
16-1	2021_03_01	13-7	50
16-1	2021_03_01	14-7	50
16-1	2021_03_01	18-19	50
16-1	2021_03_01	18-2	50
16-1	2021_03_01	19-1	50
16-1	2021_03_01	19-2	50
16-1	2021_03_01	2-1	50
16-1	2021_03_01	20-1	50
16-1	2021_03_01	20-19	50
16-1	2021_03_01	3-19	50
16-1	2021_03_01	7-14	50
16-1	2021_03_01	7-7	50
16-1	2021_03_01	8-14	50
16-1	2021_03_01	8-7	50
16-1	2021_03_01	8-8	50
16-1	2021_03_08	1-1	50
16-1	2021_03_08	1-19	50
16-1	2021_03_08	1-20	50
16-1	2021_03_08	13-7	50
16-1	2021_03_08	14-7	50
16-1	2021_03_08	18-19	50
16-1	2021_03_08	18-2	50
16-1	2021_03_08	19-1	50
16-1	2021_03_08	19-2	50
16-1	2021_03_08	2-1	50
16-1	2021_03_08	20-1	50
16-1	2021_03_08	20-19	50
16-1	2021_03_08	3-19	50
16-1	2021_03_08	7-14	50
16-1	2021_03_08	7-7	50
16-1	2021_03_08	8-14	50
16-1	2021_03_08	8-7	50
16-1	2021_03_08	8-8	50
16-1	2021_03_15	1-1	50
16-1	2021_03_15	1-19	50
16-1	2021_03_15	1-20	50
16-1	2021_03_15	13-7	50
16-1	2021_03_15	14-7	50
16-1	2021_03_15	18-19	50
16-1	2021_03_15	18-2	50
16-1	2021_03_15	19-1	50
16-1	2021_03_15	19-2	50
16-1	2021_03_15	2-1	50
16-1	2021_03_15	20-1	50
16-1	2021_03_15	20-19	50
16-1	2021_03_15	3-19	50
16-1	2021_03_15	7-14	50
16-1	2021_03_15	7-7	50
16-1	2021_03_15	8-14	50
16-1	2021_03_15	8-7	50
16-1	2021_03_15	8-8	50
16-1	2021_03_23	1-1	50
16-1	2021_03_23	1-19	50
16-1	2021_03_23	1-20	50
16-1	2021_03_23	13-7	50
16-1	2021_03_23	14-7	50
16-1	2021_03_23	18-19	50
16-1	2021_03_23	18-2	50
16-1	2021_03_23	19-1	50
16-1	2021_03_23	19-2	50
16-1	2021_03_23	2-1	50
16-1	2021_03_23	20-1	50
16-1	2021_03_23	20-19	50
16-1	2021_03_23	3-19	50
16-1	2021_03_23	7-14	50
16-1	2021_03_23	7-7	50
16-1	2021_03_23	8-14	50
16-1	2021_03_23	8-7	50
16-1	2021_03_23	8-8	50
16-16	2021_03_01	1-1	50
16-16	2021_03_01	1-19	50
16-16	2021_03_01	1-20	50
16-16	2021_03_01	13-7	50
16-16	2021_03_01	14-7	50
16-16	2021_03_01	18-19	50
16-16	2021_03_01	18-2	50
16-16	2021_03_01	19-1	50
16-16	2021_03_01	19-2	50
16-16	2021_03_01	2-1	50
16-16	2021_03_01	20-1	50
16-16	2021_03_01	20-19	50
16-16	2021_03_01	3-19	50
16-16	2021_03_01	7-14	50
16-16	2021_03_01	7-7	50
16-16	2021_03_01	8-14	50
16-16	2021_03_01	8-7	50
16-16	2021_03_01	8-8	50
16-16	2021_03_08	1-1	50
16-16	2021_03_08	1-19	50
16-16	2021_03_08	1-20	50
16-16	2021_03_08	13-7	50
16-16	2021_03_08	14-7	50
16-16	2021_03_08	18-19	50
16-16	2021_03_08	18-2	50
16-16	2021_03_08	19-1	50
16-16	2021_03_08	19-2	50
16-16	2021_03_08	2-1	50
16-16	2021_03_08	20-1	50
16-16	2021_03_08	20-19	50
16-16	2021_03_08	3-19	50
16-16	2021_03_08	7-14	50
16-16	2021_03_08	7-7	50
16-16	2021_03_08	8-14	50
16-16	2021_03_08	8-7	50
16-16	2021_03_08	8-8	50
16-16	2021_03_15	1-1	50
16-16	2021_03_15	1-19	50
16-16	2021_03_15	1-20	50
16-16	2021_03_15	13-7	50
16-16	2021_03_15	14-7	50
16-16	2021_03_15	18-19	50
16-16	2021_03_15	18-2	50
16-16	2021_03_15	19-1	50
16-16	2021_03_15	19-2	50
16-16	2021_03_15	2-1	50
16-16	2021_03_15	20-1	50
16-16	2021_03_15	20-19	50
16-16	2021_03_15	3-19	50
16-16	2021_03_15	7-14	50
16-16	2021_03_15	7-7	50
16-16	2021_03_15	8-14	50
16-16	2021_03_15	8-7	50
16-16	2021_03_15	8-8	50
16-16	2021_03_23	1-1	50
16-16	2021_03_23	1-19	50
16-16	2021_03_23	1-20	50
16-16	2021_03_23	13-7	50
16-16	2021_03_23	14-7	50
16-16	2021_03_23	18-19	50
16-16	2021_03_23	18-2	50
16-16	2021_03_23	19-1	50
16-16	2021_03_23	19-2	50
16-16	2021_03_23	2-1	50
16-16	2021_03_23	20-1	50
16-16	2021_03_23	20-19	50
16-16	2021_03_23	3-19	50
16-16	2021_03_23	7-14	50
16-16	2021_03_23	7-7	50
16-16	2021_03_23	8-14	50
16-16	2021_03_23	8-7	50
16-16	2021_03_23	8-8	50
16-19	2021_03_01	1-1	50
16-19	2021_03_01	1-19	50
16-19	2021_03_01	1-20	50
16-19	2021_03_01	13-7	50
16-19	2021_03_01	14-7	50
16-19	2021_03_01	18-19	50
16-19	2021_03_01	18-2	50
16-19	2021_03_01	19-1	50
16-19	2021_03_01	19-2	50
16-19	2021_03_01	2-1	50
16-19	2021_03_01	20-1	50
16-19	2021_03_01	20-19	50
16-19	2021_03_01	3-19	50
16-19	2021_03_01	7-14	50
16-19	2021_03_01	7-7	50
16-19	2021_03_01	8-14	50
16-19	2021_03_01	8-7	50
16-19	2021_03_01	8-8	50
16-19	2021_03_08	1-1	50
16-19	2021_03_08	1-19	50
16-19	2021_03_08	1-20	50
16-19	2021_03_08	13-7	50
16-19	2021_03_08	14-7	50
16-19	2021_03_08	18-19	0
16-19	2021_03_08	18-2	50
16-19	2021_03_08	19-1	50
16-19	2021_03_08	19-2	50
16-19	2021_03_08	2-1	50
16-19	2021_03_08	20-1	50
16-19	2021_03_08	20-19	50
16-19	2021_03_08	3-19	50
16-19	2021_03_08	7-14	50
16-19	2021_03_08	7-7	50
16-19	2021_03_08	8-14	50
16-19	2021_03_08	8-7	50
16-19	2021_03_08	8-8	50
16-19	2021_03_15	1-1	50
16-19	2021_03_15	1-19	50
16-19	2021_03_15	1-20	50
16-19	2021_03_15	13-7	50
16-19	2021_03_15	14-7	50
16-19	2021_03_15	18-19	0
16-19	2021_03_15	18-2	50
16-19	2021_03_15	19-1	50
16-19	2021_03_15	19-2	50
16-19	2021_03_15	2-1	50
16-19	2021_03_15	20-1	50
16-19	2021_03_15	20-19	50
16-19	2021_03_15	3-19	50
16-19	2021_03_15	7-14	50
16-19	2021_03_15	7-7	50
16-19	2021_03_15	8-14	50
16-19	2021_03_15	8-7	50
16-19	2021_03_15	8-8	50
16-19	2021_03_23	1-1	50
16-19	2021_03_23	1-19	50
16-19	2021_03_23	1-20	50
16-19	2021_03_23	13-7	50
16-19	2021_03_23	14-7	50
16-19	2021_03_23	18-19	0
16-19	2021_03_23	18-2	50
16-19	2021_03_23	19-1	50
16-19	2021_03_23	19-2	50
16-19	2021_03_23	2-1	50
16-19	2021_03_23	20-1	50
16-19	2021_03_23	20-19	50
16-19	2021_03_23	3-19	50
16-19	2021_03_23	7-14	50
16-19	2021_03_23	7-7	50
16-19	2021_03_23	8-14	50
16-19	2021_03_23	8-7	50
16-19	2021_03_23	8-8	50
16-20	2021_03_01	1-1	50
16-20	2021_03_01	1-19	50
16-20	2021_03_01	1-20	50
16-20	2021_03_01	13-7	50
16-20	2021_03_01	14-7	50
16-20	2021_03_01	18-19	0
16-20	2021_03_01	18-2	50
